Topic,Count,Name,Representation,Llama2,Representative_Docs
26,82,26_quantum_entanglement_classical_unitary,"['quantum', 'entanglement', 'classical', 'unitary', 'amplitude amplification', 'amplification', 'amplitude', 'correlations', 'ancilla', 'states']","['Quantum Computation and Entanglement', '', '', '', '', '', '', '', '', '']","[""we review some of quantum algorithms for search problems grover 's search algorithm , its generalization to amplitude amplification , the applications of amplitude amplification to various problems and the recent quantum algorithms based on quantum walks"", 'we discuss classical and quantum computations in terms of corresponding hamiltonian dynamics this allows us to introduce quantum computations which involve parallel processing of both the data and programme instructions using mixed quantum classical dynamics we look for a full cost of computations on quantum computers with classical terminals', 'it is conjectured that quantum computers are able to solve certain problems more quickly than any deterministic or probabilistic computer a quantum computer exploits the rules of quantum mechanics to speed up computations however , it is a formidable task to build a quantum computer , since the quantum mechanical']"
27,81,27_clustering_cluster_clusters_means,"['clustering', 'cluster', 'clusters', 'means', 'points', 'data points', 'data', 'algorithm', 'spectral', 'subspaces']","['Clustering algorithms and techniques', '', '', '', '', '', '', '', '', '']","['in subspace clustering , a group of data points belonging to a union of subspaces are assigned membership to their respective subspaces this paper presents a new approach dubbed innovation pursuit \\( ipursuit \\) to the problem of subspace clustering using a new geometrical idea whereby each subspace is identified', 'in this short communication we introduce the quick clustering algorithm \\( quist \\) , an efficient hierarchical clustering algorithm based on sorting quist is a poly logarithmic divisive clustering algorithm that does not assume the number of clusters , and or the cluster size to be known ahead of time', 'we present a global optimization algorithm for clustering data given the ratio of likelihoods that each pair of data points is in the same cluster or in different clusters to define a clustering solution in terms of pairwise relationships , a necessary and sufficient condition is that belonging to the']"
28,78,28_wireless_sensor_networks_hoc,"['wireless', 'sensor', 'networks', 'hoc', 'ad hoc', 'routing', 'ad', 'energy', 'network', 'energy consumption']","['Wireless Sensor Networks Energy Consumption', '', '', '', '', '', '', '', '', '']","['mobile networks receive increasing research interest recently due to their increasingly wide applications in various areas mobile ad hoc networks \\( manet \\) and vehicular ad hoc networks \\( vanet \\) are two prominent examples mobility introduces challenges as well as opportunities it is known to improve the network throughput', 'since the advent of wireless communication , the need for mobile ad hoc networks has been growing exponentially this has opened up a pandoras box of algorithms for dealing with mobile ad hoc networks , or manets , as they are generally referred to most attempts made at evaluating these', 'wireless sensor networks is important to nodes energy consumption for long activity of sensor nodes because nodes that compose sensor network are small size , and battery capacity is limited for energy consumption decrease of sensor nodes , sensor networks routing technique is divided by flat routing and hierarchical routing']"
29,78,29_optimization_convergence_descent_methods,"['optimization', 'convergence', 'descent', 'methods', 'gradient', 'coordinate', 'nonconvex', 'coordinate descent', 'method', 'convex']","['Optimization Methods for Nonconvex Optimization', '', '', '', '', '', '', '', '', '']","['in this paper , we study the global convergence of majorization minimization \\( mm \\) algorithms for solving nonconvex regularized optimization problems mm algorithms have received great attention in machine learning however , when applied to nonconvex optimization problems , the convergence of mm algorithms is a challenging issue we', 'we propose a new stochastic coordinate descent method for minimizing the sum of convex functions each of which depends on a small number of coordinates only our method \\( approx \\) is simultaneously accelerated , parallel and proximal this is the first time such a method is proposed in the', 'original nonconvex optimization is established our framework is very general and flexible it unifies several existing successive convex approximation \\( sca \\) based algorithms such as \\( proximal \\) gradient or newton type methods , block coordinate \\( parallel \\) descent schemes , difference of convex functions methods , and']"
30,76,30_classification_classifier_learning_decision,"['classification', 'classifier', 'learning', 'decision', 'ensemble', 'decision trees', 'trees', 'accuracy', 'regression', 'random forests']","['Machine Learning Ensemble Methods', '', '', '', '', '', '', '', '', '']","['for ensemble pruning our pruning formulation is general it takes any ensemble of decision trees as input by explicitly accounting for feature sharing across trees together with accuracy cost trade off , our method is able to significantly reduce feature cost by pruning subtrees that introduce more loss in terms', 'algorithm is given for market equilibrium computation we demonstrate that inhomogeneous markets of agents with isoelastic utilities outperform state of the art aggregate classifiers such as random forests , as well as single classifiers \\( neural networks , decision trees \\) on a number of machine learning benchmarks , and', 'we consider the problem of learning decision rules for prediction with feature budget constraint in particular , we are interested in pruning an ensemble of decision trees to reduce expected feature cost while maintaining high prediction accuracy for any test example we propose a novel 0 1 integer program formulation']"
31,74,31_recognition_object_convolutional_cnn,"['recognition', 'object', 'convolutional', 'cnn', 'neural', 'multi label', 'label', 'learning', 'convolutional neural', 'object recognition']","['Object recognition using deep neural networks', '', '', '', '', '', '', '', '', '']","['a sequence of frames from a video is in the correct temporal order with this simple task and no semantic labels , we learn a powerful unsupervised representation using a convolutional neural network \\( cnn \\) the representation contains complementary information to that learned from supervised image datasets like imagenet', 'most modern convolutional neural networks \\( cnns \\) used for object recognition are built using the same principles alternating convolution and max pooling layers followed by a small number of fully connected layers we re evaluate the state of the art for object recognition from small images with convolutional networks', 'convolutional neural networks \\( cnn \\) have shown great performance as a global representation for object recognition however , for multi label images that contain multiple objects from different categories , scales and locations , single cnn features might not be be optimal to enhance the robustness and discriminative power']"
32,74,32_bioinformatics_datasets_matching_suffix,"['bioinformatics', 'datasets', 'matching', 'suffix', 'data', 'machine learning', 'results', 'machine', 'windows', 'swrc shc']","['High-performance bioinformatics using suffix arrays', '', '', '', '', '', '', '', '', '']","[""daas \\) and probabilistic arithmetic automata \\( paas \\) 13 to our knowledge , this is the first time that substring or suffix based pattern matching algorithms are analyzed exactly experimentally , we compare horspool 's algorithm , backward dawg matching , and backward oracle matching on prototypical patterns of"", 'in this paper , a contrastive evaluation of massively parallel implementations of suffix tree and suffix array to accelerate genome sequence matching are proposed based on intel core i7 3770k quad core and nvidia geforce gtx680 gpu besides suffix array only held approximately 20 30 of the space relative to', 'suffix tree , the coalesced binary search and tile optimization make suffix array clearly outperform suffix tree using gpu consequently , the experimental results show that multiple genome sequence matching based on suffix array is more than 99 times speedup than that of cpu serial implementation there is no doubt']"
33,72,33_community_communities_community detection_community structure,"['community', 'communities', 'community detection', 'community structure', 'detection', 'overlapping', 'modularity', 'structure', 'networks', 'network']","['Community Detection in Networks', '', '', '', '', '', '', '', '', '']","['researchers use community detection algorithms to reveal large scale organization in biological and social networks , but community detection is useful only if the communities are significant and not a result of noisy data to assess the statistical significance of the network communities , or the robustness of the detected', 'we introduce a new conception of community structure , which we refer to as hidden community structure hidden community structure refers to a specific type of overlapping community structure , in which the detection of weak , but meaningful , communities is hindered by the presence of stronger communities we', 'present hidden community detection hicode , an algorithm template that identifies both the strong , dominant community structure as well as the weaker , hidden community structure in networks hicode begins by first applying an existing community detection algorithm to a network , and then removing the structure of the']"
34,69,34_evolutionary_genetic_selection_algorithms,"['evolutionary', 'genetic', 'selection', 'algorithms', 'search', 'ant', 'multimodal', 'problem', 'optimization', 'grey']","['Evolutionary Algorithms for Multimodal Optimization', '', '', '', '', '', '', '', '', '']","['in search based software engineering , genetic programming has been used for bug fixing , performance improvement and parallelisation of programs through the modification of source code where an evolutionary computation algorithm , such as genetic programming , is to be applied to similar code manipulation tasks , the complexity', ', evolutionary algorithms are shown to be particularly effective in solving this type of problem in particular , the evolutionary algorithms for multimodal optimization usually not only locate multiple optima in a single run , but also preserve their population diversity throughout a run , resulting in their global optimization', 'properties in tsp instances that influence the optimization process of evolutionary algorithms and use this information to bound the runtime of simple evolutionary algorithms our analysis studies the runtime in dependence of the number of inner points k and shows that \\( mu lambda \\) evolutionary algorithms solve the euclidean']"
35,68,35_feature_selection_feature selection_regression,"['feature', 'selection', 'feature selection', 'regression', 'kernel', 'cancer', 'training', 'gaussian process', 'gaussian', 'data']","['Robust Feature Selection for Cancer Regression', '', '', '', '', '', '', '', '', '']","['the goal of supervised feature selection is to find a subset of input features that are responsible for predicting output values the least absolute shrinkage and selection operator \\( lasso \\) allows computationally efficient feature selection based on linear dependency between input features and output values in this paper ,', 'the proposed feature selection method builds a histogram of the most stable features from random subsets of a training set and ranks the features based on a classifier based cross validation this approach reduces the instability of features obtained by conventional feature selection methods that occur with variation in training', 'selection methods are applied in conjunction with som and has an accuracy rate better than the lsa feature selection methods keywords color histogram , feature selection , lsa , pca , som']"
36,68,36_clauses_sat_cnf_hardness,"['clauses', 'sat', 'cnf', 'hardness', 'complexity', 'satisfiability', 'formulas', 'resolution', 'polynomial', 'clause']","['Satisfiability of CNF Formulas', '', '', '', '', '', '', '', '', '']","['m k \\) 2 r clauses thus textsc max r sat is fixed parameter tractable when parameterized by the number of satisfied clauses above the tight lower bound \\( 1 2 r \\) m this solves an open problem of mahajan et al \\( j comput system sci , 75', 'hyper resolution , on the standard direct encoding of the problem into boolean clauses we also show that current clause learning sat solvers will discover in expected polynomial time any inconsistency that can be deduced from a given set of clauses using negative hyper resolvents of a fixed size we', 'has at least 3k variables after application of certain polynomial time reduction rules to it , then there is a truth assignment that satisfies at least \\( 3m k \\) 4 clauses we also outline how the fixed parameter tractability and polynomial size kernel results on textsc max r sat']"
37,66,37_regret_bandit_armed_armed bandit,"['regret', 'bandit', 'armed', 'armed bandit', 'multi armed', 'reward', 'stochastic', 'bandit problem', 'arm', 'multi']","['Multi Armed Bandit Regret Analysis', '', '', '', '', '', '', '', '', '']","[', our problem is equivalent to the multi armed bandit problem , and thus can be viewed as a strategic version of the latter in particular , for both problems the quality of an algorithm can be characterized by regret , the difference in social welfare between the algorithm and', 'they incur much higher regret than the optimal multi armed bandit algorithms moreover , we provide a truthful mechanism which \\( essentially \\) matches our lower bound on regret', 'we consider the stochastic multi armed bandit problem with a prior distribution on the reward distributions we are interested in studying prior free and prior dependent regret bounds , very much in the same spirit as the usual distribution free and distribution dependent bounds for the non bayesian stochastic bandit']"
38,53,38_bound_lower_upper_bounds,"['bound', 'lower', 'upper', 'bounds', 'lower bound', 'leq', 'upper bound', 'tight', 'le', 'lower bounds']","['Ramsey numbers and bounds', '', '', '', '', '', '', '', '', '']","['computer based attempts to construct lower bounds for small ramsey numbers are discussed a systematic review of circulant ramsey graphs is attempted many known lower bounds are reproduced new bounds of r \\( 4 , 13 \\) geq137 , r \\( 5 , 9 \\) geq133 , r \\( 5', '\\) space , where rho le o \\( \\( ln c \\) 2 c p \\) this improves upon the previous best upper bound rho le 1 c by datar et al \\( socg 2004 \\) , and is close to the lower bound rho ge 1 c p by', 'e \\) for 11 le k le 16 , and show by construction a new lower bound 55 le r \\( 3 , k 13 e \\) the new upper bounds on r \\( 3 , k k e \\) are obtained by using the values and lower bounds on']"
39,53,39_eeg_affective_brain_physiological,"['eeg', 'affective', 'brain', 'physiological', 'video', 'emotion', 'responses', 'bci', 'subjects', 'signals']","['Affective Multimedia and Brain Computer Interfaces', '', '', '', '', '', '', '', '', '']","['multimedia documents such as text , images , sounds or videos elicit emotional responses of different polarity and intensity in exposed human subjects these stimuli are stored in affective multimedia databases the problem of emotion processing is an important issue in human computer interaction and different interdisciplinary studies particularly those', 'affective video indexing faces unique challenges , since viewer reported affective reactions are difficult to assess moreover affect assessment efforts must be carefully designed in order to both cover the types of affective responses that video content evokes in viewers and also capture the stable and consistent aspects of these', 'used to evoke somatosensory brain responses , thus defining a tactile brain computer interface \\( tbci \\) experimental results on subjects performing online \\( real time \\) tbci , using stimuli with a moderately fast inter stimulus interval \\( isi \\) , provide a validation of the tbci prototype ,']"
40,53,40_byzantine_consensus_gossip_log,"['byzantine', 'consensus', 'gossip', 'log', 'nodes', 'failures', 'node', 'protocol', 'proofs', 'rounds']","['Byzantine Consensus Protocols', '', '', '', '', '', '', '', '', '']","['byzantine failures if they adopt a worst case placement scheme besides , if we assume a constant byzantine ratio \\( each node has the same probability to be byzantine \\) , the probability to have a fatal placement approaches 1 when the number of nodes increases , and reliability guarantees', 'max \\( 3f 1 , \\( d 1 \\) f 1 \\) is tight to achieve exact byzantine consensus in synchronous systems , and n \\( d 2 \\) f 1 for approximate byzantine consensus in asynchronous systems due to the dependence of the lower bound on vector dimension d', ', the number of processes necessary becomes large when the vector dimension is large with the hope of reducing the lower bound on n , we consider two relaxed versions of byzantine vector consensus k relaxed byzantine vector consensus and \\( delta , p \\) relaxed byzantine vector consensus in']"
41,52,41_complexity_computational_computational complexity_time,"['complexity', 'computational', 'computational complexity', 'time', 'star', 'log', 'ar', 'algorithm', 'interpolation', 'ctrw']","['Implicit Computational Complexity', '', '', '', '', '', '', '', '', '']","['far rely on the lattice approach in this paper , we reduce this multivariate interpolation problem to a problem of simultaneous polynomial approximations , which we solve using fast structured linear algebra this improves the best known complexity bounds for the interpolation step of the list decoding of reed solomon', 'etaps 2011 implicit computational complexity aims at studying computational complexity without referring to external measuring conditions or particular machine models , but instead by considering restrictions on programming languages or logical principles implying complexity properties the aim of this workshop was to bring together researchers working on implicit computational complexity', 'the only hurdle here is still the computational complexity']"
42,52,42_ofdm_frequency_multicarrier_cdma,"['ofdm', 'frequency', 'multicarrier', 'cdma', 'modulation', 'frequency division', 'division', 'multiplexing', 'orthogonal frequency', 'index']","['Communication Systems and Modulation Techniques', '', '', '', '', '', '', '', '', '']","['asymmetrically clipped optical orthogonal frequency division multiplexing \\( aco ofdm \\) is theoretically more power efficient but less spectrally efficient than dc bias ofdm \\( dco ofdm \\) , with less power allocating to the informationless bias component by only using odd index sub carriers layered enhanced asymmetrically clipped optical', 'orthogonal frequency division multiplexing \\( l e aco ofdm \\) has been proposed to increase the spectral efficiency of aco ofdm in this letter , we experimentally demonstrate a 30 km single mode fiber transmission using l e aco ofdm at 4 375 gbits s using a volterra filter based', 'orthogonal frequency division multiplexing with offset quadrature amplitude modulation \\( ofdm oqam \\) is a multicarrier modulation scheme that can be considered as an alternative to the conventional orthogonal frequency division multiplexing \\( ofdm \\) with cyclic prefix \\( cp \\) for transmission over multipath fading channels in this paper']"
43,52,43_pagerank_ranking_resampling_wikipedia,"['pagerank', 'ranking', 'resampling', 'wikipedia', 'rankings', 'citation', 'page', 'web', 'personalized', 'algorithm']","['Ranking and Pagerank Algorithms in Wikipedia', '', '', '', '', '', '', '', '', '']","['2007 2011 a special emphasis is done on ranking of wikipedia personalities and universities we show that pagerank selection is dominated by politicians while 2drank , which combines pagerank and cheirank , gives more accent on personalities of arts the wikipedia pagerank of universities recovers 80 percents of top universities', 'the pagerank algorithm employed at google assigns a measure of importance to each web page for rankings in search results in our recent papers , we have proposed a distributed randomized approach for this algorithm , where web pages are treated as agents computing their own pagerank by communicating with', 'society while pagerank highlights very well known nodes with many ingoing links , cheirank highlights very communicative nodes with many outgoing links in this way the ranking becomes two dimensional using cheirank and pagerank we analyze the properties of two dimensional ranking of all wikipedia english articles and show that']"
44,52,44_privacy_differential privacy_differential_private,"['privacy', 'differential privacy', 'differential', 'private', 'differentially private', 'differentially', 'data', 'queries', 'pram', 'utility']","['Privacy and Differential Privacy in Data Analysis', '', '', '', '', '', '', '', '', '']","['differential privacy is a cryptographically motivated definition of privacy which has gained significant attention over the past few years differentially private solutions enforce privacy by adding random noise to a function computed over the data , and the challenge in designing such algorithms is to control the added noise in', 'strictly related to the bayes risk in this paper , we show how to model the query system in terms of an information theoretic channel , and we compare the notion of differential privacy with that of mutual information we show that differential privacy implies a bound on the mutual', 'differential privacy is a notion of privacy that has become very popular in the database community roughly , the idea is that a randomized query mechanism provides sufficient privacy protection if the ratio between the probabilities that two adjacent datasets give the same answer is bound by e epsilon in']"
45,47,45_automata_automaton_deterministic_languages,"['automata', 'automaton', 'deterministic', 'languages', 'kleene', 'recognizable', 'states', 'non deterministic', 'language', 'omega']","['Label: Automata and Languages', '', '', '', '', '', '', '', '', '']","['\\) states an easy corollary of our construction is that an omega language with rabin index k cannot be recognized by any omega automaton \\( deterministic or non deterministic \\) with fewer than o \\( sqrt k \\) states', 'we show that there are sigma 3 0 complete languages of infinite words accepted by non deterministic petri nets with b uchi acceptance condition , or equivalently by b uchi blind counter automata this shows that omega languages accepted by non deterministic petri nets are topologically more complex than those', 'we describe a uniform construction for converting omega automata with arbitrary acceptance conditions \\( based on the notion of infinity sets i e the set of states visited infinitely often in a run of the automaton \\) to equivalent deterministic parity automata \\( dpw \\) given a non deterministic automaton']"
46,44,46_queue_queues_packets_arrival,"['queue', 'queues', 'packets', 'arrival', 'packet', 'fluid', 'queue length', 'throughput', 'infinity', 'service']","['Queueing Theory and Performance Analysis', '', '', '', '', '', '', '', '', '']","['node which harvests energy packets from the environment in addition to its data queues , the su has an energy queue to store the harvested energy packets the secondary energy packets are used for primary packets decoding and data packets transmission more specifically , if the secondary energy queue is', 'a randomly chosen subset of connected queues a markovian model is studied where mean packet transmission time is n 1 and packet arrival rate is lambda 1 per queue transient and equilibrium distributions of queue occupancies are obtained in the limit as the system size n tends to infinity', 'empty , the secondary source can neither help the primary source nor transmit a packet from the data queues the energy queue is modeled as a discrete time queue with markov arrival and service processes due to the interaction of the queues , we provide inner and outer bounds on']"
47,43,47_opinion_opinions_agents_dynamics,"['opinion', 'opinions', 'agents', 'dynamics', 'model', 'individuals', 'social', 'rewiring', 'formation', 'observation']","['Opinion Dynamics and Social Networks', '', '', '', '', '', '', '', '', '']","['we propose an opinion dynamics model that combines processes of vanity and opinion propagation the interactions take place between randomly chosen pairs during an interaction , the agents propagate their opinions about themselves and about other people they know moreover , each individual is subject to vanity if her interlocutor', 'how this affects collective opinion formation we introduce a model of binary opinion dynamics on a complex network with fast , stochastic rewiring and show that confirmation bias induces a segregation of individuals with different opinions we use the dynamics of global opinion to generally categorize opinion update rules and', 'opinion dynamics , aiming to understand the evolution of collective behavior through various interaction mechanisms of opinions , represents one of the most challenges in natural and social science to elucidate this issue clearly , binary opinion model becomes a useful framework , where agents can take an independent opinion']"
48,43,48_video_visual_event_semantic,"['video', 'visual', 'event', 'semantic', 'concept', 'concepts', 'image', 'event detection', 'representation', 'multimedia']","['Video Event Detection using Semantic Representations', '', '', '', '', '', '', '', '', '']","['in this paper , we present the bag of attributes \\( boa \\) model for video representation aiming at video event retrieval the boa model is based on a semantic feature space for representing videos , resulting in high level video feature vectors for creating a semantic space , i', 'ones used for image retrieval , but redesign it for video event detection by including video source set refinement and varying the video tag assignment we call our approach tagbook and study its construction , descriptiveness and detection performance on the trecvid 2013 and 2014 multimedia event detection datasets and', 'video representations we use trecvid multimedia event detection 2013 and columbia consumer video open source event definitions and videos as our test sets and show very promising results on two video event detection tasks event modeling over concept space and zero shot event retrieval to the best of our knowledge']"
49,42,49_sentiment_events_mood_sentiment analysis,"['sentiment', 'events', 'mood', 'sentiment analysis', 'opinions', 'tweets', 'health', 'event', 'news', 'twitter']","['Sentiment Analysis of Twitter Data for Event Mood and Opinion Mining', '', '', '', '', '', '', '', '', '']","['social media users tend to mention entities when reacting to news events the main purpose of this work is to create entity centric aggregations of tweets on a daily basis by applying topic modeling and sentiment analysis , we create data visualization insights about current events and people reactions to', 'opinion mining and sentiment analysis is a process of identifying opinions in large unstructured structured data and then analysing polarity of those opinions opinion mining and sentiment analysis have found vast application in analysing online ratings , analysing product based reviews , e governance , and managing hostile content over', 'analyst to search real time tweets from various users in this paper , we discuss the state of art of the works which are focused on twitter , the online social network platform , for sentiment analysis we survey various lexical , machine learning and hybrid approaches for sentiment analysis']"
50,42,50_constraint_constraint satisfaction_satisfaction_csp,"['constraint', 'constraint satisfaction', 'satisfaction', 'csp', 'satisfaction problems', 'faithfulness', 'satisfaction problem', 'csps', 'consistency', 'problems']","['Constraint Satisfaction Problems', '', '', '', '', '', '', '', '', '']","['local consistency techniques such as k consistency are a key component of specialised solvers for constraint satisfaction problems in this paper we show that the power of using k consistency techniques on a constraint satisfaction problem is precisely captured by using a particular inference rule , which we call negative', ""schaefer 's theorem is a complexity classification result for so called boolean constraint satisfaction problems it states that every boolean constraint satisfaction problem is either contained in one out of six classes and can be solved in polynomial time , or is np complete we present an analog of this"", 'a distance constraint satisfaction problem is a constraint satisfaction problem \\( csp \\) whose constraint language consists of relations that are first order definable over \\( bbb z , succ \\) , i e , over the integers with the successor function our main result says that every distance csp']"
51,42,51_estimator_mse_estimators_error,"['estimator', 'mse', 'estimators', 'error', 'outage', 'square error', 'bounds', 'mean square', 'convergence', 'lower']","['Estimation and Error Analysis', '', '', '', '', '', '', '', '', '']","['the minimum mse \\( mmse \\) estimators , respectively however , computation of these estimators and their corresponding performance is usually not tractable and thus , lower bounds on these terms can be very useful for performance analysis the proposed class of lower bounds on the outage error probability is', 'as the minimum mean square error \\( mmse \\) since the mmse estimator delivers a system estimate with lower mean square error \\( mse \\) than the ml estimator for finite length experiments , it is usually considered the best choice in practice in signal processing and control applications within', 'in this paper , new classes of lower bounds on the outage error probability and on the mean square error \\( mse \\) in bayesian parameter estimation are proposed the minima of the h outage error probability and the mse are obtained by the generalized maximum a posteriori probability and']"
52,41,52_tensor_tensors_rank_decomposition,"['tensor', 'tensors', 'rank', 'decomposition', 'indexing', 'decompositions', 'storage', 'low rank', 'product', 'reduction']","['Tensor Decomposition and Storage', '', '', '', '', '', '', '', '', '']","['robust tensor cp decomposition involves decomposing a tensor into low rank and sparse components we propose a novel non convex iterative algorithm with guaranteed recovery it alternates between low rank cp decomposition through gradient ascent \\( a variant of the tensor power method \\) , and hard thresholding of the', 'of the observed tensor , we analyze the equivalent relationship of the trace norm between a low rank tensor and its core tensor then , we cast a non convex tensor decomposition model into a weighted combination of multiple much smaller scale matrix trace norm minimization finally , we develop', 'we introduce tensor interpolative decomposition \\( tensor id \\) for the reduction of the separation rank of canonical tensor decompositions \\( ctds \\) tensor id selects , for a user defined accuracy epsilon , a near optimal subset of terms of a ctd to represent the remaining terms via a']"
