Topic,Count,Name,Representation,Llama2,Representative_Docs
53,40,53_polynomials_polynomial_bigo_bivariate,"['polynomials', 'polynomial', 'bigo', 'bivariate', 'rational', 'ldots', 'coefficients', 'varphi', 'characteristic', 'complexity']","['Polynomial algorithms and complexity', '', '', '', '', '', '', '', '', '']","['point is outputted its coordinates have bit length dominated by sigma d bigo \\( k 3 \\) using this result , we obtain a procedure deciding if a polynomial f in z x 1 , , x n is a sum of squares of polynomials in q x 1 ,', 'we present an algorithm which computes the multilinear factors of bivariate lacunary polynomials it is based on a new gap theorem which allows to test whether a polynomial of the form p \\( x , x 1 \\) is identically zero in time polynomial in the number of terms of', 'to find some linear factors of bivariate lacunary polynomials over a field of large finite characteristic in probabilistic polynomial time']"
54,39,54_urban_textit_spatial_mobility,"['urban', 'textit', 'spatial', 'mobility', 'temporal', 'patterns', 'geo', 'geographical', 'recommendation', 'textbf']","['Geospatial Recommendation Systems', '', '', '', '', '', '', '', '', '']","['the user travels to a far away place moreover , user interests and behavior patterns may vary dramatically across different geographical regions in light of this , we propose geo sage , a geographical sparse additive generative model for spatial item recommendation in this paper geo sage considers both user', 'temporal poi representations into a temporal preference ranking model to establish the textit t emporal textit seer \\( textit t seer \\) model in addition , we incorporate the geographical influence into the textit t seer model and develop the textit textbf geo temporal textit textbf seer \\( textit gt', 'information and further propose the textit textbf se quential textit textbf e mbedding textit textbf r ank \\( textit seer \\) model for poi recommendation in particular , the textit seer model learns user preferences via a pairwise ranking model under the sequential constraint modeled by the poi embedding learning']"
55,37,55_storage_repair_codes_replication,"['storage', 'repair', 'codes', 'replication', 'locally', 'distributed storage', 'storage systems', 'lrcs', 'distributed', 'data']","['Locally Repairable Codes for Distributed Storage', '', '', '', '', '', '', '', '', '']","['instead of the entire content this allows non trivial savings in repair bw in sharp contrast , classic codes , like reed solomon \\( rs \\) , used in current storage systems , are deemed to suffer from naive repair , i e downloading the entire stored message to repair', 'we focus on erasure codes for distributed storage the distributed storage setting imposes locality requirements because of easy repair demands on the decoder we first establish the characterization of various locality properties in terms of the generator matrix of the code these lead to bounds on locality and notions of', 'digital contents in large scale distributed storage systems may have different reliability and access delay requirements , and for this reason , erasure codes with different strengths need to be utilized to achieve the best storage efficiency at the same time , in such large scale distributed storage systems ,']"
56,36,56_temporal_data_database_databases,"['temporal', 'data', 'database', 'databases', 'research', 'events', 'metadata', 'interfaces', 'management', 'integration']","['Temporal Database Interfaces', '', '', '', '', '', '', '', '', '']","['databases , databases with special support for time dependent entries we have developed a framework for constructing natural language interfaces to temporal databases , drawing on research on temporal phenomena within logic and linguistics the central part of our framework is a logic like formal language , called top ,', 'present a framework for constructing natural language interfaces for temporal databases \\( nltdbs \\) , that draws on research in tense and aspect theories , temporal logics , and temporal databases the framework consists of a temporal intermediate representation language , called top , an hpsg grammar that maps a', 'most existing natural language database interfaces \\( nldbs \\) were designed to be used with database systems that provide very limited facilities for manipulating time dependent data , and they do not support adequately temporal linguistic mechanisms \\( verb tenses , temporal adverbials , temporal subordinate clauses , etc \\)']"
57,35,57_markov_markov chains_chain_markov chain,"['markov', 'markov chains', 'chain', 'markov chain', 'ergodic', 'chains', 'sample', 'random', 'stationary', 'stationary ergodic']","['Markov Chain Analysis', '', '', '', '', '', '', '', '', '']","['we address the problem of estimating the parameters of a time homogeneous markov chain given only noisy , aggregate data this arises when a population of individuals behave independently according to a markov chain , but individual sample paths cannot be observed due to limitations of the observation process or', 'we consider a class of small sample distribution estimators over noisy channels our estimators are designed for repetition channels , and rely on properties of the runs of the observed sequences these runs are modeled via a special type of markov chains , termed alternating markov chains we show that', 'in this paper , we consider the markov chain monte carlo \\( mcmc \\) approach for random sampling of combinatorial objects the running time of such an algorithm depends on the total mixing time of the underlying markov chain and is unknown in general for some markov chains , upper']"
58,35,58_robot_human_robots_interaction,"['robot', 'human', 'robots', 'interaction', 'eye', 'face', 'humanoid', 'robotic', 'gestures', 'task']","['Human-Robot Interaction', '', '', '', '', '', '', '', '', '']","['manipulate a robot to assemble an object we evaluate if the scores of extroversion and negative attitude towards robots co variate with the duration and frequency of gaze and speech cues the experiments were carried out with the humanoid robot icub and n 56 adult participants we found that the', 'robotic system , propose in order to improve the human robot interaction \\( hri \\) the operators working with the robotic prototype were interviewed three weeks after the deployment using established ux narrative interview guidelines our results show that the cooperation with a robot that executes predefined working steps actually', 'more people are extrovert , the more and longer they tend to talk with the robot and the more people have a negative attitude towards robots , the less they will look at the robot face and the more they will look at the robot hands where the assembly and']"
59,34,59_agents_immune_agent_ai,"['agents', 'immune', 'agent', 'ai', 'autonomous', 'asp', 'robotic', 'systems', 'human', 'biological']","['Artificial Immune Systems and Agent-Based Systems', '', '', '', '', '', '', '', '', '']","['agent based systems , while it supports both the levels of the individual agent structure and the agent society in the multi agents systems \\( mas \\) development process according to amcis , mas are viewed as being composed of a number of autonomous cooperative agents that live in an', 'feedback loops unavailable to biological organisms the possibility of superintelligent agents , or simply the widespread deployment of sophisticated , autonomous ai systems , highlights an important theoretical problem the need to separate the cognitive and rational capacities of an agent from the fundamental goal structure , or value system', 'agents and agent systems are becoming more and more important in the development of a variety of fields such as ubiquitous computing , ambient intelligence , autonomous computing , intelligent systems and intelligent robotics the need for improvement of our basic knowledge on agents is very essential we take a']"
60,33,60_recommendation_recommender_cf_recommender systems,"['recommendation', 'recommender', 'cf', 'recommender systems', 'users', 'recommendations', 'items', 'user', 'ratings', 'bias']","['Improving Recommender Systems with Bias Learning', '', '', '', '', '', '', '', '', '']","[""of the workflow in making decisions rather than artificially soliciting explicit feedback this feedback provides additional data for training recommendation systems which in turn improves how well the recommendation models predict a user 's preferences we perform a user study with a movie recommendation setup to compare interfaces that offer"", 'collaborative filtering \\( cf \\) is a successful approach commonly used by many recommender systems conventional cf based methods use the ratings given to items by users as the sole source of information for learning to make recommendation however , the ratings are often very sparse in many applications ,', 'more appropriate model for recommender systems mdps introduce two benefits they take into account the long term effects of each recommendation , and they take into account the expected value of each recommendation to succeed in practice , an mdp based recommender system must employ a strong initial model and']"
61,30,61_attacks_security_attack_teams,"['attacks', 'security', 'attack', 'teams', 'build', 'remote', 'embedding', 'byzantine', 'inference network', 'analysis problem']","['Secure Software Development and Inference Network Security', '', '', '', '', '', '', '', '', '']","['the resilience of supervisory control and data acquisition \\( scada \\) systems for electric power networks for certain cyber attacks is considered we analyze the vulnerability of the measurement system to false data attack on communicated measurements the vulnerability analysis problem is shown to be np hard , meaning that', ', additive embedding strategy in the exponential sense finally , these results are extended to the case of memoryless attacks and general worst case attacks optimal decision regions and embedding rules are offered , and the worst attack channel is identified', 'byzantine attack that blinds any distributed inference network as the quantization alphabet size increases , a tremendous improvement in the security performance of the distributed inference network is observed we also investigate the problem of distributed inference in the presence of resource constrained byzantine attacks in particular , we focus']"
62,30,62_distributed_diffusion_estimation_mean,"['distributed', 'diffusion', 'estimation', 'mean', 'centralized', 'algorithm', 'distributed estimation', 'adaptive', 'mde', 'distributed algorithms']","['Distributed Estimation and Adaptive Algorithms', '', '', '', '', '', '', '', '', '']","['alleviate the effects of stochastic gradient noise and measurement noise through a continuous learning process we analyze the mean square error performance of the algorithm in some detail , including its transient and steady state behavior we also apply the diffusion algorithm to two problems distributed estimation with sparse parameters', 'we propose a diffusion least mean p power \\( lmp \\) algorithm for distributed estimation in alpha stable noise environments , which is one of the widely used models that appears in various environments compared with the diffusion least mean squares \\( lms \\) algorithm , better performance is obtained', 'in this work we analyze the mean square performance of different strategies for distributed estimation over least mean squares \\( lms \\) adaptive networks the results highlight some useful properties for distributed adaptation in comparison to fusion based centralized solutions the analysis establishes that , by optimizing over the combination']"
63,30,63_critical_linear complexity_sums_sequences,"['critical', 'linear complexity', 'sums', 'sequences', 'complexity', 'binary sequences', 'coefficients', 'strings', 'generating', 'binomial']","['Linear complexity of binary sequences', '', '', '', '', '', '', '', '', '']","['we obtain the complete characterization of i th descent point \\( critical point \\) of the k error linear complexity for i 2 , 3 second , by using the sieve method and games chan algorithm , we characterize the second descent point \\( critical point \\) distribution of the', 'and the third descent points to be completely characterized in fact , the proposed constructive approach has the potential to be used for constructing 2 n periodic binary sequences with the given linear complexity and k error linear complexity \\( or celcs \\) , which is a challenging problem to', 'k error linear complexity for 2 n periodic binary sequences as a consequence , we obtain the complete counting functions on the k error linear complexity of 2 n periodic binary sequences as the second descent point for k 3 , 4 this is the first time for the second']"
64,30,64_grammars_parsing_parser_lexical,"['grammars', 'parsing', 'parser', 'lexical', 'grammar', 'free grammars', 'deduction', 'compiler', 'context free', 'tree']","['Formal Parsing and Grammar', '', '', '', '', '', '', '', '', '']","['synchronous context free grammars \\( scfgs \\) , also known as syntax directed translation schemata , are unlike context free grammars in that they do not have a binary normal form in general , parsing with scfgs takes space and time polynomial in the length of the input strings ,', '\\( pegs \\) , a formalism essentially representing recursive descent parsing , which we consider an attractive alternative to context free grammars \\( cfgs \\) from this formalization we can extract a parser for an arbitrary peg grammar with the warranty of total correctness , i e , the resulting', 'augmented phrase structure formalisms , such as definite clause grammars and other logic grammar formalisms , and has been used for rapid prototyping of parsing algorithms for a variety of formalisms including variants of tree adjoining grammars , categorial grammars , and lexicalized context free grammars']"
65,29,65_phase_bethe_model rb_rb,"['phase', 'bethe', 'model rb', 'rb', 'phase transitions', 'random', 'threshold', 'free energy', 'transitions', 'cavity']","['Phase transitions in discrete systems', '', '', '', '', '', '', '', '', '']","['based on a non rigorous formalism called the cavity method , physicists have put forward intriguing predictions on phase transitions in discrete structures one of the most remarkable ones is that in problems such as random k sat or random graph k coloring , very shortly before the threshold for', 'this paper first analyzes the resolution complexity of two random csp models \\( i e model rb rd \\) for which we can establish the existence of phase transitions and identify the threshold points exactly by encoding csps into cnf formulas , it is proved that almost all instances of', 'multiple fixed points , a loop series expansion is performed for the grand partition function the first term of this series gives the bethe peierls free energy functional at the first step replica symmetry breaking \\( rsb \\) level of the mean field spin glass theory , and corrections again']"
66,29,66_lp_polytope_relaxations_integer,"['lp', 'polytope', 'relaxations', 'integer', 'ef', 'diagrams', 'relaxation', 'problems', 'presumptions', 'agp']","['Optimization and Relaxation Techniques in Graph and Network Problems', '', '', '', '', '', '', '', '', '']","['lp relaxation based message passing algorithms provide an effective tool for map inference over probabilistic graphical models however , different lp relaxations often have different objective functions and variables of differing dimensions , which presents a barrier to effective comparison and analysis in addition , the computational complexity of lp', 'natural linear programming \\( lp \\) relaxation the lp is essentially equivalent to the held karp lp for tsp and the undirected lp for steiner tree we give a family of extreme points for the lp which are more complex than those previously known', 'polytope diagrams some properties of marginal polytope diagrams are exploited such as node redundancy and edge equivalence we show that using marginal polytope diagrams allows the number of constraints to be reduced without loosening the lp relaxations then , using marginal polytope diagrams and constraint reduction , we develop three']"
67,29,67_query_queries_conjunctive_relational,"['query', 'queries', 'conjunctive', 'relational', 'answers', 'algebra', 'horn', 'ontological', 'consistent', 'causality']","['Query Optimization in Ontological Databases', '', '', '', '', '', '', '', '', '']","['query the closure query closure queries are a natural extension of membership queries and also a variant , appropriate for the context of horn formulas , of the so called correction queries we present an algorithm that learns conjunctions of horn clauses in polynomial time , using closure and equivalence', 'of an ontological query into an equivalent query against the underlying relational database the focus here is on soundness and completeness we review previous results and present a new rewriting algorithm for rather general types of ontological constraints in particular , we show how a conjunctive query against an ontology', 'ontological queries are evaluated against an ontology rather than directly on a database the evaluation and optimization of such queries is an intriguing new problem for database research in this paper we discuss two important aspects of this problem query rewriting and query optimization query rewriting consists of the compilation']"
68,28,68_providers_competition_neutral_ftth,"['providers', 'competition', 'neutral', 'ftth', 'isps', 'neutrality', 'service', 'isp', 'regulations', 'stochastically']","['Local Access Competition and Network Neutrality', '', '', '', '', '', '', '', '', '']","['opens up new possibilities for service level competition , defined as the sharing of a single network infrastructure by multiple higher layer service providers , whether of the same or different services yet technology is hardly an exogenous factor that independently shapes future local access competition the regulatory environment also', 'this paper studies the effects on user welfare of imposing network neutrality , using a game theoretic model of provider interactions based on a two sided market framework we assume that the platform the last mile access providers \\( isps \\) are monopolists , and consider content providers \\( cps', 'monopoly and competition , we obtain different conclusions on the desirability of regulation we also introduce the notion of a public option isp , an isp that carries traffic in a network neutral manner our major findings are \\( i \\) in a monopolistic scenario , network neutral regulations benefit']"
69,28,69_video_quality_qos_http,"['video', 'quality', 'qos', 'http', 'streaming', 'content', 'delay', 'resource', 'quality service', 'video quality']","['Video Quality of Service (QoS) and Resource Allocation', '', '', '', '', '', '', '', '', '']","['deterministic delay bounds are difficult to guarantee instead , we propose providing statistical delay guarantees using the concept of effective capacity we consider a multiuser setup whereby different users have \\( possibly different \\) delay qos constraints we derive the resource allocation policy that maximizes the sum video quality and', 'real time video demands quality of service \\( qos \\) guarantees such as delay bounds for end user satisfaction furthermore , the tolerable delay varies depending on the use case such as live streaming or two way video conferencing due to the inherently stochastic nature of wireless fading channels ,', 'results show that video users with differentiated qos requirements can achieve similar video quality with vastly different resource requirements thus , qos aware scheduling and resource allocation enable supporting significantly more users under the same resource constraints']"
70,27,70_image_images_fractal_digital,"['image', 'images', 'fractal', 'digital', 'latin', 'encryption', 'medical', 'secure', 'square', 'photographs']","['Image Encryption and Security', '', '', '', '', '', '', '', '', '']","['square p box 2 \\) we provide a new way of integrating probabilistic encryption in image encryption by embedding random noise in the least significant image bit plane and 3 \\) we construct lsic with these latin square image encryption primitives all on one keyed latin square in a new', 'in this paper , we introduce a symmetric key latin square image cipher \\( lsic \\) for grayscale and color images our contributions to the image encryption community include 1 \\) we develop new latin square image encryption primitives including latin square whitening , latin square s box and latin', 'in recent work , various fractal image coding methods are reported , which adopt the self similarity of images to compress the size of images however , till now , no solutions for the security of fractal encoded images have been provided in this paper , a secure fractal image']"
71,27,71_markov_hidden_hidden markov_sequence,"['markov', 'hidden', 'hidden markov', 'sequence', 'hmcs', 'markov models', 'inference', 'chain', 'markov processes', 'models']","['Hidden Markov Models for Sequence Inference', '', '', '', '', '', '', '', '', '']","['this paper proposes a generative model , the latent dirichlet hidden markov models \\( ldhmm \\) , for characterizing a database of sequential behaviors \\( sequences \\) ldhmms posit that each sequence is generated by an underlying markov chain process , which are controlled by the corresponding parameters \\( i', 'less than 1 which decreases quickly to zero it helps to understand the convergence of entropy rate of generic hidden markov models , and it provides a theoretical base for estimating the entropy rate of some hidden markov models at any accuracy', 'in the paper , the approximate sequence for entropy of some binary hidden markov models has been found to have two bound sequences , the low bound sequence and the upper bound sequence the error bias of the approximate sequence is bound by a geometric sequence with a scale factor']"
72,26,72_quantum_key_classical_private,"['quantum', 'key', 'classical', 'private', 'key distribution', 'prover', 'protocol', 'interactive proof', 'qubits', 'proof systems']","['Quantum Key Distribution and Protocols', '', '', '', '', '', '', '', '', '']","['this paper gives the first formal treatment of a quantum analogue of multi prover interactive proof systems it is proved that the class of languages having quantum multi prover interactive proof systems is necessarily contained in nexp , under the assumption that provers are allowed to share at most polynomially', 'a prover does not have his private qubits , the class of languages having quantum single prover interactive proof systems is also equal to nexp', 'transformations \\( 2 \\) present a protocol and proof of its unconditional security for quantum key distribution amongst several trusted parties \\( 3 \\) propose an idea to combine the features of quantum key distribution and quantum secret sharing we investigate all the above issues in great detail and finally']"
73,24,73_voltage_consumption_power_vm,"['voltage', 'consumption', 'power', 'vm', 'resources', 'energy consumption', 'grid', 'virtual', 'bus', 'power consumption']","['Virtual Machine Scheduling and Energy Consumption', '', '', '', '', '', '', '', '', '']","['the common bus voltage , while it is received by processing the bus measurements that units perform this communication is challenged by the fact that the voltage level is subject to random disturbances , as the state of the mg changes with random load variations we develop a corresponding communication', 'machines many previous works proposed to use a minimum number of physical machines , however , this is not necessarily a good solution to minimize total energy consumption in the vm placement with multiple resources , fixed interval times and non preemption we observed that minimizing total energy consumption of', 'distributed power consumption generation the lack of a direct control of voltage along the line may result in the voltage instability , also called voltage collapse phenomenon well known and documented in the power engineering literature motivated by emerging photo voltaic technology , which brings a new source of renewable']"
74,24,74_fourier_fft_transform_transforms,"['fourier', 'fft', 'transform', 'transforms', 'discrete', 'fourier transform', 'dht', 'fast', 'types', 'synthesis']","['Fast Fourier Transform (FFT) and Discrete Transforms', '', '', '', '', '', '', '', '', '']","['a technique called fourier extension or fourier continuation when constructed as the discrete least squares minimizer in equidistant points , the fourier extension has been shown shown to converge geometrically in the truncation parameter n a fast mathcal o \\( n log 2 n \\) algorithm has been described to', 'this paper shows that it is possible to improve the computational cost , the memory requirements and the accuracy of quick fourier transform \\( qft \\) algorithm for power of two fft \\( fast fourier transform \\) just introducing a slight modification in this algorithm the new algorithm requires the', 'discrete transforms such as the discrete fourier transform \\( dft \\) or the discrete hartley transform \\( dht \\) furnish an indispensable tool in signal processing the successful application of transform techniques relies on the existence of the so called fast transforms in this paper some fast algorithms are derived']"
75,24,75_fuzzy_association_rules_mining,"['fuzzy', 'association', 'rules', 'mining', 'association rules', 'rule', 'rough', 'set', 'fuzzy set', 'data mining']","['Fuzzy Association Rule Mining', '', '', '', '', '', '', '', '', '']","['certain and fuzzy possible rules from incomplete quantitative data with a predefined tolerance degree of uncertainty and misclassification a new method , incomplete quantitative data for rough set model and the fuzzy set theory , is thus proposed to solve this problem it first transforms each quantitative value into a', 'fuzzy set level this paper proposes a new algorithm for generating multidimensional association rules by utilizing fuzzy sets a database consisting of fuzzy transactions , the apriory property is employed to prune the useless candidates , itemsets', 'fuzzy set of linguistic terms using membership functions and then finding incomplete quantitative data with lower and the fuzzy upper approximations it second calculates the fuzzy beta lower and the fuzzy beta upper approximations the certain and possible rules are then generated based on these fuzzy approximations these rules can']"
76,23,76_log_epsilon_epsilon log_space,"['log', 'epsilon', 'epsilon log', 'space', 'log space', 'omega', 'lp', 'delta', 'rin', 'rmrs']","['Log Space Bounds for Approximate LP Sampling', '', '', '', '', '', '', '', '', '']","['p p in soda 2010 , monemizadeh and woodruff showed polylog space upper bounds for approximate lp samplers and demonstrated various applications of them very recently , andoni , krauthgamer and onak improved the upper bounds and gave a o \\( epsilon p log 3 n \\) space epsilon relative', 'within a relative accuracy of 1 pm epsilon with high constant probability in an online fashion and using as little space as possible the current space lower bound for this problem is omega \\( n 1 2 p epsilon 2 p n 1 2 p epsilon 4 p log o', 'our space bound is o \\( epsilon 1 log 2 n \\) , while for the p 1 case we have an o \\( log \\( 1 epsilon \\) epsilon 1 log 2 n \\) space algorithm we also give a o \\( log 2 n \\) bits zero relative']"
77,22,77_pc members_pc_authors_members,"['pc members', 'pc', 'authors', 'members', 'papers', 'workshop', 'paper published', 'talks', 'submitted', 'author']","['Peer review process for academic papers', '', '', '', '', '', '', '', '', '']","['reply to each paper was reviewed by three pc members , and altogether 8 papers \\( including 3 short papers \\) were accepted for publication we were proud to host two invited talks , by pavol cerny and kim larsen , whose abstracts are included in this volume together with', 'anonymously , with authors during the review phase , each submitted paper is published on a discussion forum whose access is restricted to the authors and to all the pc members not declaring a conflict of interest the pc members post comments and questions that the authors reply to for', 'with authors during the review phase , each submitted paper is published on a wiki and associated with a discussion forum whose access is restricted to the authors and to all the pc members not declaring a conflict of interests the pc members post comments and questions that the authors']"
78,22,78_scheduling_schedule_greedy_worker,"['scheduling', 'schedule', 'greedy', 'worker', 'scheduling problems', 'transaction', 'schedules', 'windows', 'transactions', 'contention']","['Scheduling and Contention Management in Assembly Lines and Transactional Memory', '', '', '', '', '', '', '', '', '']","['of iterations sequential scheduling raises the problem of finding the best sequence of message updates this paper presents practical scheduling strategies that use the value of the messages in the graph to find the next message to be updated simulation results show that these informed update sequences require significantly fewer', 'we consider greedy contention managers for transactional memory for m x n execution windows of transactions with m threads and n transactions per thread assuming that each transaction conflicts with at most c other transactions inside the window , a trivial greedy contention manager can schedule them within cn time', 'in this paper , we show that there are much better schedules we present and analyze two new randomized greedy contention management algorithms the first algorithm offline greedy produces a schedule of length o \\( c n log \\( mn \\) \\) with high probability , and gives competitive ratio']"
79,22,79_secret_key_secret key_key generation,"['secret', 'key', 'secret key', 'key generation', 'secure', 'secret sharing', 'key agreement', 'public', 'sharing', 'generation']","['Secret Key Agreement and Sharing', '', '', '', '', '', '', '', '', '']","['we consider a coded cooperative data exchange problem with the goal of generating a secret key specifically , we investigate the number of public transmissions required for a set of clients to agree on a secret key with probability one , subject to the constraint that it remains private from', 'we consider information theoretic secret key agreement and secure function computation by multiple parties observing correlated data , with access to an interactive public communication channel our main result is an upper bound on the secret key length , which is derived using a reduction of binary hypothesis testing to', 'multiparty secret key agreement building on this basic result , we derive new converses for multiparty secret key agreement furthermore , we derive converse results for the oblivious transfer problem and the bit commitment problem by relating them to secret key agreement finally , we derive a necessary condition for']"
80,21,80_elections_rule_election_votes,"['elections', 'rule', 'election', 'votes', 'voting', 'winner', 'manipulation', 'crossing', 'deleting', 'voter']","['Electoral Complexity and Manipulation', '', '', '', '', '', '', '', '', '']","[""crossing elections that satisfy an additional constraint , namely , ones where each candidate is ranked first by at least one voter \\( such elections are called narcissistic \\) for single crossing narcissistic elections , we provide an efficient algorithm for the egalitarian version of monroe 's rule"", 'candidate is said to be an election winner if she is ranked first in one of the nearest \\( with respect to the given distance \\) consensus elections it is known that many classic voting rules can be distance rationalized in this paper , we provide new results on distance', ""we study the complexity of winner determination in single crossing elections under two classic fully proportional representation rules chamberlin courant 's rule and monroe 's rule winner determination for these rules is known to be np hard for unrestricted preferences we show that for single crossing preferences this problem admits""]"
81,21,81_randomness_computable_algorithmic_dcx,"['randomness', 'computable', 'algorithmic', 'dcx', 'pp', 'metric space', 'random', 'space', 'knowledge', 'degrees']","['Algorithmic Randomness in Computable Metric Spaces', '', '', '', '', '', '', '', '', '']","['notions of degrees of randomness for example , the solovay degrees and the k degrees of computably enumerable reals and computably enumerable sets are not elementarily equivalent also , the degrees of randomness based on plain and prefix free complexity are not elementarily equivalent the same holds for their delta', 'in this paper we investigate algorithmic randomness on more general spaces than the cantor space , namely computable metric spaces to do this , we first develop a unified framework allowing computations with probability measures we show that any computable metric space with a computable probability measure is isomorphic to', 'the cantor space in a computable and measure theoretic sense we show that any computable metric space admits a universal uniform randomness test \\( without further assumption \\)']"
